	gene_symbol
922	ANXA8
923	ANXA8L1
924	ANXA8L2
925	ANXA9
926	AOAH
927	AOC2
928	AOC3
929	AOC4
930	AOMS1
931	AOMS2
932	AOX1
933	AOX2P
934	AP1AR
935	AP1B1
936	AP1B1P1
937	AP1B1P2
938	AP1G1
939	AP1G2
940	AP1M1
941	AP1M2
942	AP1S1
943	AP1S2
944	AP1S3
945	AP2A1
946	AP2A2
947	AP2B1
948	AP2M1
949	AP2S1
950	AP3B1
951	AP3B2
952	AP3D1
953	AP3M1
954	AP3M2
955	AP3S1
956	AP3S2
957	AP4B1
958	AP4E1
959	AP4M1
960	AP4S1
961	APAF1
962	APBA1
963	APBA2
964	APBA3
965	APBB1
966	APBB1IP
967	APBB2
968	APBB3
969	APC
970	APC2
971	APCDD1
972	APCDD1L
973	APCS
974	APEH
975	APEX1
976	APEX2
977	APH1A
978	APH1B
979	API5
980	API5P1
981	API5P2
982	APIP
983	APITD1
984	APLF
985	APLN
986	APLNR
987	APLP1
988	APLP2
989	APOA1
990	APOA1BP
991	APOA2
992	APOA4
993	APOA5
994	APOB
995	APOBEC1
996	APOBEC2
997	APOBEC3A
998	APOBEC3B
999	APOBEC3C
1000	APOBEC3D
1001	APOBEC3F
1002	APOBEC3G
1003	APOBEC3H
1004	APOBEC4
1005	APOBR
1006	APOC1
1007	APOC1P1
1008	APOC2
1009	APOC3
1010	APOC4
1011	APOD
1012	APOE
1013	APOF
1014	APOH
1015	APOL1
1016	APOL2
1017	APOL3
1018	APOL4
1019	APOL5
1020	APOL6
1021	APOLD1
1022	APOM
1023	APOO
1024	APOOL
1025	APOPT1
1026	APP
1027	APPBP2
1028	APPL1
1029	APPL2
1030	APRT
1031	APTX
1032	AQP1
1033	AQP10
1034	AQP11
1035	AQP12A
1036	AQP12B
1037	AQP2
1038	AQP3
1039	AQP4
1040	AQP5
1041	AQP6
1042	AQP7
1043	AQP7P1
1044	AQP7P2
1045	AQP7P3
1046	AQP7P4
1047	AQP8
1048	AQP9
1049	AQPEP
1050	AQR
1051	AR
1052	ARAF
1053	ARAF2P
1054	ARAF3P
1055	ARAP1
1056	ARAP2
1057	ARAP3
1058	ARC
1059	ARCC1
1060	ARCN1
1061	AREG
1062	AREGB
1063	AREI
1064	ARF1
1065	ARF1P1
1066	ARF1P3
1067	ARF3
1068	ARF4
1069	ARF4P1
1070	ARF4P2
1071	ARF4P3
1072	ARF5
1073	ARF6
